Training on 1500 cases from agent\meituan_1500_training_samples_by_scene\case_bank\train for 7200s
{"elapsed_seconds": 37.64, "remaining_seconds": 7162.36, "processed_cases": 1, "logged_trials": 9, "best_case": "agent\\meituan_1500_training_samples_by_scene\\case_bank\\train\\high_noise_seed601\\high_noise_seed601_aug087.txt", "best_seen": {"valid": true, "covered_tasks": 30, "total_tasks": 30, "missing_tasks": 0, "missing_task_ids": [], "total_score": 689.114, "penalty_score": 392.900127, "parallel_penalty_score": 600.205748, "expected_accepted_tasks": 29.028869, "solution_items": 21, "duplicate_tasks": [], "duplicate_couriers": [], "unknown_tasks": [], "invalid_candidate_count": 0, "malformed_item_count": 0, "runtime_ms": 3681.329, "strategy_name": "core_default_teacher@9200ms", "budget_ms": 9200.0}, "model_out": "models\\strategy_selector.json"}
{"elapsed_seconds": 3524.942, "remaining_seconds": 3675.058, "processed_cases": 133, "logged_trials": 1197, "best_case": "agent\\meituan_1500_training_samples_by_scene\\case_bank\\train\\tiny_seed42\\tiny_seed42_aug125.txt", "best_seen": {"valid": true, "covered_tasks": 6, "total_tasks": 6, "missing_tasks": 0, "missing_task_ids": [], "total_score": 203.91, "penalty_score": 98.224382, "parallel_penalty_score": 166.285272, "expected_accepted_tasks": 5.841758, "solution_items": 5, "duplicate_tasks": [], "duplicate_couriers": [], "unknown_tasks": [], "invalid_candidate_count": 0, "malformed_item_count": 0, "runtime_ms": 13.215, "strategy_name": "core_default_teacher", "budget_ms": 8500.0}, "model_out": "models\\strategy_selector.json"}
{"elapsed_seconds": 3867.838, "remaining_seconds": 3332.162, "processed_cases": 146, "logged_trials": 1314, "best_case": "agent\\meituan_1500_training_samples_by_scene\\case_bank\\train\\tiny_seed42\\tiny_seed42_aug125.txt", "best_seen": {"valid": true, "covered_tasks": 6, "total_tasks": 6, "missing_tasks": 0, "missing_task_ids": [], "total_score": 203.91, "penalty_score": 98.224382, "parallel_penalty_score": 166.285272, "expected_accepted_tasks": 5.841758, "solution_items": 5, "duplicate_tasks": [], "duplicate_couriers": [], "unknown_tasks": [], "invalid_candidate_count": 0, "malformed_item_count": 0, "runtime_ms": 13.215, "strategy_name": "core_default_teacher", "budget_ms": 8500.0}, "model_out": "models\\strategy_selector.json"}
{"elapsed_seconds": 4169.952, "remaining_seconds": 3030.048, "processed_cases": 157, "logged_trials": 1413, "best_case": "agent\\meituan_1500_training_samples_by_scene\\case_bank\\train\\tiny_seed42\\tiny_seed42_aug125.txt", "best_seen": {"valid": true, "covered_tasks": 6, "total_tasks": 6, "missing_tasks": 0, "missing_task_ids": [], "total_score": 203.91, "penalty_score": 98.224382, "parallel_penalty_score": 166.285272, "expected_accepted_tasks": 5.841758, "solution_items": 5, "duplicate_tasks": [], "duplicate_couriers": [], "unknown_tasks": [], "invalid_candidate_count": 0, "malformed_item_count": 0, "runtime_ms": 13.215, "strategy_name": "core_default_teacher", "budget_ms": 8500.0}, "model_out": "models\\strategy_selector.json"}
{"elapsed_seconds": 4496.767, "remaining_seconds": 2703.233, "processed_cases": 171, "logged_trials": 1539, "best_case": "agent\\meituan_1500_training_samples_by_scene\\case_bank\\train\\tiny_seed42\\tiny_seed42_aug125.txt", "best_seen": {"valid": true, "covered_tasks": 6, "total_tasks": 6, "missing_tasks": 0, "missing_task_ids": [], "total_score": 203.91, "penalty_score": 98.224382, "parallel_penalty_score": 166.285272, "expected_accepted_tasks": 5.841758, "solution_items": 5, "duplicate_tasks": [], "duplicate_couriers": [], "unknown_tasks": [], "invalid_candidate_count": 0, "malformed_item_count": 0, "runtime_ms": 13.215, "strategy_name": "core_default_teacher", "budget_ms": 8500.0}, "model_out": "models\\strategy_selector.json"}
{"elapsed_seconds": 4833.076, "remaining_seconds": 2366.924, "processed_cases": 182, "logged_trials": 1638, "best_case": "agent\\meituan_1500_training_samples_by_scene\\case_bank\\train\\tiny_seed42\\tiny_seed42_aug125.txt", "best_seen": {"valid": true, "covered_tasks": 6, "total_tasks": 6, "missing_tasks": 0, "missing_task_ids": [], "total_score": 203.91, "penalty_score": 98.224382, "parallel_penalty_score": 166.285272, "expected_accepted_tasks": 5.841758, "solution_items": 5, "duplicate_tasks": [], "duplicate_couriers": [], "unknown_tasks": [], "invalid_candidate_count": 0, "malformed_item_count": 0, "runtime_ms": 13.215, "strategy_name": "core_default_teacher", "budget_ms": 8500.0}, "model_out": "models\\strategy_selector.json"}
{"elapsed_seconds": 5138.162, "remaining_seconds": 2061.838, "processed_cases": 193, "logged_trials": 1737, "best_case": "agent\\meituan_1500_training_samples_by_scene\\case_bank\\train\\tiny_seed42\\tiny_seed42_aug116.txt", "best_seen": {"valid": true, "covered_tasks": 6, "total_tasks": 6, "missing_tasks": 0, "missing_task_ids": [], "total_score": 116.135, "penalty_score": 90.250345, "parallel_penalty_score": 120.02579, "expected_accepted_tasks": 5.808485, "solution_items": 5, "duplicate_tasks": [], "duplicate_couriers": [], "unknown_tasks": [], "invalid_candidate_count": 0, "malformed_item_count": 0, "runtime_ms": 10.248, "strategy_name": "core_default_teacher", "budget_ms": 8500.0}, "model_out": "models\\strategy_selector.json"}
{"elapsed_seconds": 5443.659, "remaining_seconds": 1756.341, "processed_cases": 205, "logged_trials": 1845, "best_case": "agent\\meituan_1500_training_samples_by_scene\\case_bank\\train\\tiny_seed42\\tiny_seed42_aug116.txt", "best_seen": {"valid": true, "covered_tasks": 6, "total_tasks": 6, "missing_tasks": 0, "missing_task_ids": [], "total_score": 116.135, "penalty_score": 90.250345, "parallel_penalty_score": 120.02579, "expected_accepted_tasks": 5.808485, "solution_items": 5, "duplicate_tasks": [], "duplicate_couriers": [], "unknown_tasks": [], "invalid_candidate_count": 0, "malformed_item_count": 0, "runtime_ms": 10.248, "strategy_name": "core_default_teacher", "budget_ms": 8500.0}, "model_out": "models\\strategy_selector.json"}
{"elapsed_seconds": 5746.791, "remaining_seconds": 1453.209, "processed_cases": 216, "logged_trials": 1944, "best_case": "agent\\meituan_1500_training_samples_by_scene\\case_bank\\train\\tiny_seed42\\tiny_seed42_aug116.txt", "best_seen": {"valid": true, "covered_tasks": 6, "total_tasks": 6, "missing_tasks": 0, "missing_task_ids": [], "total_score": 116.135, "penalty_score": 90.250345, "parallel_penalty_score": 120.02579, "expected_accepted_tasks": 5.808485, "solution_items": 5, "duplicate_tasks": [], "duplicate_couriers": [], "unknown_tasks": [], "invalid_candidate_count": 0, "malformed_item_count": 0, "runtime_ms": 10.248, "strategy_name": "core_default_teacher", "budget_ms": 8500.0}, "model_out": "models\\strategy_selector.json"}
{"elapsed_seconds": 6056.799, "remaining_seconds": 1143.201, "processed_cases": 228, "logged_trials": 2052, "best_case": "agent\\meituan_1500_training_samples_by_scene\\case_bank\\train\\tiny_seed42\\tiny_seed42_aug116.txt", "best_seen": {"valid": true, "covered_tasks": 6, "total_tasks": 6, "missing_tasks": 0, "missing_task_ids": [], "total_score": 116.135, "penalty_score": 90.250345, "parallel_penalty_score": 120.02579, "expected_accepted_tasks": 5.808485, "solution_items": 5, "duplicate_tasks": [], "duplicate_couriers": [], "unknown_tasks": [], "invalid_candidate_count": 0, "malformed_item_count": 0, "runtime_ms": 10.248, "strategy_name": "core_default_teacher", "budget_ms": 8500.0}, "model_out": "models\\strategy_selector.json"}
{"elapsed_seconds": 6364.082, "remaining_seconds": 835.918, "processed_cases": 242, "logged_trials": 2178, "best_case": "agent\\meituan_1500_training_samples_by_scene\\case_bank\\train\\tiny_seed42\\tiny_seed42_aug116.txt", "best_seen": {"valid": true, "covered_tasks": 6, "total_tasks": 6, "missing_tasks": 0, "missing_task_ids": [], "total_score": 116.135, "penalty_score": 90.250345, "parallel_penalty_score": 120.02579, "expected_accepted_tasks": 5.808485, "solution_items": 5, "duplicate_tasks": [], "duplicate_couriers": [], "unknown_tasks": [], "invalid_candidate_count": 0, "malformed_item_count": 0, "runtime_ms": 10.248, "strategy_name": "core_default_teacher", "budget_ms": 8500.0}, "model_out": "models\\strategy_selector.json"}
